feature,modality,feature_group,feature_type,aggregation,analysis_role,class_id,class_name,n_subjects_total,n_nonmissing,missing_subject_fraction,median,q25,q75,iqr,cn_reference_median,median_diff_vs_cn,robust_smd_vs_cn,cliffs_delta_vs_cn,abs_cliffs_delta_vs_cn,max_abs_cliffs_delta_non_cn
activity__activity_cal_total__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,261,191.5,329,137.5,261,0,0,0,0,0.4522875817
activity__activity_cal_total__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,261.25,202.25,307.75,105.5,261,0.25,0.002751961118,0.02202753442,0.02202753442,0.4522875817
activity__activity_cal_total__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,138.75,126.5,233,106.5,261,-122.25,-1.340984919,-0.4522875817,0.4522875817,0.4522875817
activity__activity_cal_total__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,2515.5,2322,2698,376,2515.5,0,0,0,0,0.2287581699
activity__activity_cal_total__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,2506,2338.5,2688,349.5,2515.5,-9.5,-0.03530519477,0.008260325407,0.008260325407,0.2287581699
activity__activity_cal_total__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,2353.5,2290,2523,233,2515.5,-162,-0.6986913851,-0.2287581699,0.2287581699,0.2287581699
activity__activity_cal_total__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_cal_total__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_cal_total__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__active_ratio_first_half__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.1319444444,0.1041666667,0.1666666667,0.0625,0.1319444444,0,0,0,0,0.7176470588
activity__activity_class_5min__active_ratio_first_half__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.1354166667,0.1119791667,0.1605902778,0.04861111111,0.1319444444,0.003472222222,0.08366142848,0.05231539424,0.05231539424,0.7176470588
activity__activity_class_5min__active_ratio_first_half__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.08333333333,0.07465277778,0.09722222222,0.02256944444,0.1319444444,-0.04861111111,-1.395616729,-0.7176470588,0.7176470588,0.7176470588
activity__activity_class_5min__active_ratio_first_half__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.3611111111,0.2847222222,0.4166666667,0.1319444444,0.3611111111,0,0,0,0,0.3869281046
activity__activity_class_5min__active_ratio_first_half__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.3819444444,0.2867063492,0.4895833333,0.2028769841,0.3611111111,0.02083333333,0.1642305714,0.1284105131,0.1284105131,0.3869281046
activity__activity_class_5min__active_ratio_first_half__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.2777777778,0.1527777778,0.3402777778,0.1875,0.3611111111,-0.08333333333,-0.6934177342,-0.3869281046,0.3869281046,0.3869281046
activity__activity_class_5min__active_ratio_first_half__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__active_ratio_first_half__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__active_ratio_first_half__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__active_ratio_second_half__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.07638888889,0.0625,0.1041666667,0.04166666667,0.07638888889,0,0,0,0,0.3137254902
activity__activity_class_5min__active_ratio_second_half__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.08333333333,0.0625,0.09809027778,0.03559027778,0.07638888889,0.006944444444,0.241770201,0.03204005006,0.03204005006,0.3137254902
activity__activity_class_5min__active_ratio_second_half__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.0625,0.05555555556,0.07638888889,0.02083333333,0.07638888889,-0.01388888889,-0.5687883418,-0.3137254902,0.3137254902,0.3137254902
activity__activity_class_5min__active_ratio_second_half__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.1493055556,0.1111111111,0.1944444444,0.08333333333,0.1493055556,0,0,0,0,0.1816993464
activity__activity_class_5min__active_ratio_second_half__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.1458333333,0.1006944444,0.2100694444,0.109375,0.1493055556,-0.003472222222,-0.04817473112,0.03229036295,0.03229036295,0.1816993464
activity__activity_class_5min__active_ratio_second_half__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.1458333333,0.06944444444,0.1736111111,0.1041666667,0.1493055556,-0.003472222222,-0.04965737622,-0.1816993464,0.1816993464,0.1816993464
activity__activity_class_5min__active_ratio_second_half__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__active_ratio_second_half__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__active_ratio_second_half__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__active_time_centroid__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.05174536057,0.04430054732,0.06343680113,0.01913625382,0.05174536057,0,0,0,0,0.06633291615
activity__activity_class_5min__active_time_centroid__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.05080660313,0.03995163624,0.06112862126,0.02117698503,0.05174536057,-0.0009387574441,-0.06274684644,-0.06633291615,0.06633291615,0.06633291615
activity__activity_class_5min__active_time_centroid__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.05319693872,0.04350283862,0.06022407838,0.01672123976,0.05174536057,0.001451578145,0.1089731914,0.04836601307,0.04836601307,0.06633291615
activity__activity_class_5min__active_time_centroid__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.397274498,0.3692908476,0.4201050836,0.05081423596,0.397274498,0,0,0,0,0.3333333333
activity__activity_class_5min__active_time_centroid__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.3899578761,0.3551758223,0.4171816375,0.06200581519,0.397274498,-0.00731662192,-0.1741164921,-0.1113892365,0.1113892365,0.3333333333
activity__activity_class_5min__active_time_centroid__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.4287548139,0.4067708824,0.4405070798,0.03373619746,0.397274498,0.03148031582,0.9846499359,0.3333333333,0.3333333333,0.3333333333
activity__activity_class_5min__active_time_centroid__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,0,0,0,0.02352941176
activity__activity_class_5min__active_time_centroid__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,0,-0.02352941176,0.02352941176,0.02352941176
activity__activity_class_5min__active_time_centroid__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,0,-0.02352941176,0.02352941176,0.02352941176
activity__activity_class_5min__bout_count__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,14,12,16,4,14,0,0,0,0,0.2470588235
activity__activity_class_5min__bout_count__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,13.75,12,15.75,3.75,14,-0.25,-0.08698701124,-0.02403003755,0.02403003755,0.2470588235
activity__activity_class_5min__bout_count__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,14,10,15.25,5.25,14,0,0,-0.2470588235,0.2470588235,0.2470588235
activity__activity_class_5min__bout_count__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,72.5,66.5,78,11.5,72.5,0,0,0,0,0.2888888889
activity__activity_class_5min__bout_count__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,74,68.25,79,10.75,72.5,1.5,0.1817843962,0.08886107635,0.08886107635,0.2888888889
activity__activity_class_5min__bout_count__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,70,55,73,18,72.5,-2.5,-0.2232880687,-0.2888888889,0.2888888889,0.2888888889
activity__activity_class_5min__bout_count__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__bout_count__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__bout_count__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_0_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.04166666667,0.02777777778,0.05902777778,0.03125,0.04166666667,0,0,0,0,0.07320261438
activity__activity_class_5min__class_0_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.04253472222,0.02387152778,0.05989583333,0.03602430556,0.04166666667,0.0008680555556,0.03472556678,0.02077596996,0.02077596996,0.07320261438
activity__activity_class_5min__class_0_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.04513888889,0.006944444444,0.05034722222,0.04340277778,0.04166666667,0.003472222222,0.1238579355,-0.07320261438,0.07320261438,0.07320261438
activity__activity_class_5min__class_0_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0,0,0.01736111111,0.01736111111,0,0,0,0,0,0.06274509804
activity__activity_class_5min__class_0_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0,0,0.01477206736,0.01477206736,0,0,0,-0.06157697121,0.06157697121,0.06274509804
activity__activity_class_5min__class_0_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0,0,0.01909722222,0.01909722222,0,0,0,-0.06274509804,0.06274509804,0.06274509804
activity__activity_class_5min__class_0_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_0_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_0_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_1_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.07118055556,0.06076388889,0.08680555556,0.02604166667,0.07118055556,0,0,0,0,0.277124183
activity__activity_class_5min__class_1_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.07291666667,0.05555555556,0.08506944444,0.02951388889,0.07118055556,0.001736111111,0.08414830802,-0.07484355444,0.07484355444,0.277124183
activity__activity_class_5min__class_1_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.09201388889,0.0625,0.1041666667,0.04166666667,0.07118055556,0.02083333333,0.8088945988,0.277124183,0.277124183,0.277124183
activity__activity_class_5min__class_1_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.3263888889,0.2986111111,0.3819444444,0.08333333333,0.3263888889,0,0,0,0,0.5908496732
activity__activity_class_5min__class_1_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.3402777778,0.3098958333,0.375,0.06510416667,0.3263888889,0.01388888889,0.2505620812,0.04530663329,0.04530663329,0.5908496732
activity__activity_class_5min__class_1_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.4184027778,0.3941605839,0.4513888889,0.05722830495,0.3263888889,0.09201388889,1.736460921,0.5908496732,0.5908496732,0.5908496732
activity__activity_class_5min__class_1_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_1_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_1_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_2_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.09027777778,0.07552083333,0.109375,0.03385416667,0.09027777778,0,0,0,0,0.1163398693
activity__activity_class_5min__class_2_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.09375,0.07769097222,0.1076388889,0.02994791667,0.09027777778,0.003472222222,0.1465555118,0.04630788486,0.04630788486,0.1163398693
activity__activity_class_5min__class_2_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.08333333333,0.07986111111,0.09895833333,0.01909722222,0.09027777778,-0.006944444444,-0.340847212,-0.1163398693,0.1163398693,0.1163398693
activity__activity_class_5min__class_2_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.3506944444,0.3246527778,0.40625,0.08159722222,0.3506944444,0,0,0,0,0.1444305382
activity__activity_class_5min__class_2_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.34375,0.2994791667,0.3923611111,0.09288194444,0.3506944444,-0.006944444444,-0.1071591916,-0.1444305382,0.1444305382,0.1444305382
activity__activity_class_5min__class_2_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.3541666667,0.3263888889,0.375,0.04861111111,0.3506944444,0.003472222222,0.06974347536,-0.1163398693,0.1163398693,0.1444305382
activity__activity_class_5min__class_2_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_2_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_2_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_3_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.07291666667,0.05208333333,0.09027777778,0.03819444444,0.07291666667,0,0,0,0,0.4875816993
activity__activity_class_5min__class_3_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.06857638889,0.0546875,0.08420138889,0.02951388889,0.07291666667,-0.004340277778,-0.1715446623,-0.04255319149,0.04255319149,0.4875816993
activity__activity_class_5min__class_3_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.046875,0.04166666667,0.06597222222,0.02430555556,0.07291666667,-0.02604166667,-1.097396953,-0.4875816993,0.4875816993,0.4875816993
activity__activity_class_5min__class_3_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.2013888889,0.1701388889,0.2447916667,0.07465277778,0.2013888889,0,0,0,0,0.3333333333
activity__activity_class_5min__class_3_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.21875,0.1736111111,0.2552083333,0.08159722222,0.2013888889,0.01736111111,0.2994821389,0.1329161452,0.1329161452,0.3333333333
activity__activity_class_5min__class_3_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.1284722222,0.09375,0.21875,0.125,0.2013888889,-0.07291666667,-0.9554455217,-0.3333333333,0.3333333333,0.3333333333
activity__activity_class_5min__class_3_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_3_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_3_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_4_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.02951388889,0.02170138889,0.04340277778,0.02170138889,0.02951388889,0,0,0,0,0.3137254902
activity__activity_class_5min__class_4_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.03472222222,0.02907986111,0.04079861111,0.01171875,0.02951388889,0.005208333333,0.4028785738,0.1459324155,0.1459324155,0.3137254902
activity__activity_class_5min__class_4_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.01909722222,0.01388888889,0.03125,0.01736111111,0.02951388889,-0.01041666667,-0.7150662176,-0.3137254902,0.3137254902,0.3137254902
activity__activity_class_5min__class_4_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.04166666667,0.02083333333,0.05902777778,0.03819444444,0.04166666667,0,0,0,0,0.185620915
activity__activity_class_5min__class_4_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.03819444444,0.02604166667,0.06597222222,0.03993055556,0.04166666667,-0.003472222222,-0.1198815144,0.06733416771,0.06733416771,0.185620915
activity__activity_class_5min__class_4_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.04166666667,0.01041666667,0.04340277778,0.03298611111,0.04166666667,0,0,-0.185620915,0.185620915,0.185620915
activity__activity_class_5min__class_4_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_4_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_4_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_5_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.003472222222,0.001736111111,0.0078125,0.006076388889,0.003472222222,0,0,0,0,0.2797385621
activity__activity_class_5min__class_5_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.003472222222,0,0.006944444444,0.006944444444,0.003472222222,0,0,-0.1051314143,0.1051314143,0.2797385621
activity__activity_class_5min__class_5_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.003472222222,0,0.003472222222,0.003472222222,0.003472222222,0,0,-0.2797385621,0.2797385621,0.2797385621
activity__activity_class_5min__class_5_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.001736111111,0,0.006944444444,0.006944444444,0.001736111111,0,0,0,0,0.1581699346
activity__activity_class_5min__class_5_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0,0,0.006076388889,0.006076388889,0.001736111111,-0.001736111111,-0.3589365808,-0.06182728411,0.06182728411,0.1581699346
activity__activity_class_5min__class_5_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0,0,0.003472222222,0.003472222222,0.001736111111,-0.001736111111,-0.4265912564,-0.1581699346,0.1581699346,0.1581699346
activity__activity_class_5min__class_5_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_5_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__class_5_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__entropy__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.1366439377,0.1091995421,0.1641803532,0.0549808111,0.1366439377,0,0,0,0,0.1163398693
activity__activity_class_5min__entropy__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.1304485115,0.119752624,0.1621963025,0.04244367846,0.1366439377,-0.006195426252,-0.1701682336,0.03178973717,0.03178973717,0.1163398693
activity__activity_class_5min__entropy__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.1493682895,0.1390603403,0.1594753434,0.02041500307,0.1366439377,0.01272435175,0.4139088699,0.1163398693,0.1163398693,0.1163398693
activity__activity_class_5min__entropy__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,1.249054177,1.196234239,1.300074107,0.1038398675,1.249054177,0,0,0,0,0.4013071895
activity__activity_class_5min__entropy__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,1.267121001,1.208356904,1.326827263,0.1184703594,1.249054177,0.01806682362,0.2187891852,0.07384230288,0.07384230288,0.4013071895
