feature,family,comparison,group_n,reference_n,group_median,reference_median,cliffs_delta_group_minus_cn,robust_smd_group_minus_cn,direction_free_univariate_auc,missing_fraction,abs_cliffs_delta
activity__event7__activity__circadian__peak_cos__iqr,activity:variability,IMPAIRED_vs_CN,56,85,0.3790312453199522,0.27451905283832867,0.16869747899159665,0.29616345558114604,0.5843487394957984,0.0,0.16869747899159665
activity__event7__activity__circadian__peak_cos__mad,activity:variability,MCI_vs_CN,47,85,0.15891862259789136,0.13397459621556118,0.12015018773466833,0.14965544509633796,0.5600750938673341,0.0,0.12015018773466833
activity__event7__activity__circadian__peak_cos__mad,activity:variability,DEM_vs_CN,9,85,0.0999004225046295,0.13397459621556118,-0.06928104575163399,-0.15648134184552323,0.534640522875817,0.0,0.06928104575163399
activity__event7__activity__circadian__peak_cos__mad,activity:variability,IMPAIRED_vs_CN,56,85,0.14644660940672632,0.13397459621556118,0.08970588235294118,0.06646650673731444,0.5448529411764705,0.0,0.08970588235294118
activity__event7__activity__circadian__peak_cos__theil_sen_rank_slope,activity:change,MCI_vs_CN,47,85,0.0,0.0,-0.09937421777221526,0.0,0.5496871088861076,0.0,0.09937421777221526
activity__event7__activity__circadian__peak_cos__theil_sen_rank_slope,activity:change,DEM_vs_CN,9,85,0.0,0.0,-0.21437908496732025,0.0,0.6071895424836602,0.0,0.21437908496732025
activity__event7__activity__circadian__peak_cos__theil_sen_rank_slope,activity:change,IMPAIRED_vs_CN,56,85,0.0,0.0,-0.11785714285714285,0.0,0.5589285714285714,0.0,0.11785714285714285
activity__event7__activity__circadian__peak_cos__late_half_minus_early_half,activity:change,MCI_vs_CN,47,85,0.0,0.0,-0.029036295369211516,0.0,0.5145181476846057,0.0,0.029036295369211516
activity__event7__activity__circadian__peak_cos__late_half_minus_early_half,activity:change,DEM_vs_CN,9,85,0.049950211252314664,0.0,-0.06013071895424837,0.15182284661362047,0.5300653594771242,0.0,0.06013071895424837
activity__event7__activity__circadian__peak_cos__late_half_minus_early_half,activity:change,IMPAIRED_vs_CN,56,85,0.0,0.0,-0.03403361344537815,0.0,0.517016806722689,0.0,0.03403361344537815
activity__event7__activity__circadian__peak_sin__median,activity:level,MCI_vs_CN,47,85,1.2246467991473532e-16,1.2246467991473532e-16,-0.029787234042553193,0.0,0.5148936170212766,0.0,0.029787234042553193
activity__event7__activity__circadian__peak_sin__median,activity:level,DEM_vs_CN,9,85,0.258819045102521,1.2246467991473532e-16,-0.13594771241830064,0.22638229960034537,0.5679738562091503,0.0,0.13594771241830064
activity__event7__activity__circadian__peak_sin__median,activity:level,IMPAIRED_vs_CN,56,85,0.11207193402100674,1.2246467991473532e-16,-0.04684873949579832,0.10155551600521694,0.5234243697478991,0.0,0.04684873949579832
activity__event7__activity__circadian__peak_sin__trimmed_mean_10,activity:level,MCI_vs_CN,47,85,0.0401968258162466,-0.014271488929232658,0.020775969962453067,0.09840606358835148,0.5103879849812265,0.0,0.020775969962453067
activity__event7__activity__circadian__peak_sin__trimmed_mean_10,activity:level,DEM_vs_CN,9,85,-0.029586683026649463,-0.014271488929232658,-0.1738562091503268,-0.021834696915268462,0.5869281045751634,0.0,0.1738562091503268
activity__event7__activity__circadian__peak_sin__trimmed_mean_10,activity:level,IMPAIRED_vs_CN,56,85,0.03514347623054227,-0.014271488929232658,-0.01050420168067227,0.09052487216285943,0.5052521008403361,0.0,0.01050420168067227
activity__event7__activity__circadian__peak_sin__p10,activity:level,MCI_vs_CN,47,85,-0.7329629131445341,-0.6999999999999998,-0.15969962453066333,-0.0705090525172246,0.5798498122653317,0.0,0.15969962453066333
activity__event7__activity__circadian__peak_sin__p10,activity:level,DEM_vs_CN,9,85,-0.9659258262890683,-0.6999999999999998,-0.45359477124183006,-0.5162357074977505,0.7267973856209151,0.0,0.45359477124183006
activity__event7__activity__circadian__peak_sin__p10,activity:level,IMPAIRED_vs_CN,56,85,-0.7603371151128517,-0.6999999999999998,-0.20693277310924368,-0.11890042804905919,0.6034663865546219,0.0,0.20693277310924368
activity__event7__activity__circadian__peak_sin__p90,activity:level,MCI_vs_CN,47,85,0.7071067811865476,0.6294095225512605,0.12165206508135169,0.1275074019364107,0.5608260325406759,0.0,0.12165206508135169
activity__event7__activity__circadian__peak_sin__p90,activity:level,DEM_vs_CN,9,85,0.582842712474619,0.6294095225512605,-0.1542483660130719,-0.049625334463406265,0.5771241830065359,0.0,0.1542483660130719
activity__event7__activity__circadian__peak_sin__p90,activity:level,IMPAIRED_vs_CN,56,85,0.6732050807568879,0.6294095225512605,0.0773109243697479,0.0722368778114441,0.5386554621848739,0.0,0.0773109243697479
